Ref,Qty,Value,Value2,Note,Description,Datasheet,Manufacturer,ManuPartNum,Distributor1,DistributorPartNum1,DistributorPartLink1
"D1","1","LED_Bidi","","","Dual LED, red and green, common cathode on pin 2","https://www.mouser.ca/datasheet/2/216/WP937GYW-49419.pdf","Kingbright","WP937GYW","Mouser","604-WP937GYW","https://www.mouser.ca/ProductDetail/Kingbright/WP937GYW?qs=pYCps6XRS2BGAhGpbeAyzQ%3D%3D"
"R1 R3 R4","3","100K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12*","Mouser","603-MFR-12*","https://www.mouser.ca/c/?m=YAGEO&power+rating=166+mW+(1%2f6+W)&tolerance=1+%25&instock=y"
"R2","1","33K2","","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","","","Mouser","",""
"R5 R6","2","200K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12*","Mouser","603-MFR-12*","https://www.mouser.ca/c/?m=YAGEO&power+rating=166+mW+(1%2f6+W)&tolerance=1+%25&instock=y"
"R7","1","51R","1%, 1/4 W","Output limiting","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-25FBF52-51R","Mouser","603-MFR-25FBF52-51R","https://www.mouser.ca/ProductDetail/?qs=oAGoVhmvjhzVx2bdEH1TLQ%3D%3D"
"R8","1","1K","5%, 1/4 W","Output limiting","Resistor","https://www.mouser.ca/datasheet/2/427/ccf07-1762725.pdf","Vishay / Dale","CCF071K00JKE36","Mouser","71-CCF071K00JKE36","https://www.mouser.ca/ProductDetail/Vishay-Dale/CCF071K00JKE36?qs=sGAEpiMZZMsPqMdJzcrNwqw41JD0NFylHV1MADcQnpo%3D"
"R9","1","4K7","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12*","Mouser","603-MFR-12*","https://www.mouser.ca/c/?m=YAGEO&power+rating=166+mW+(1%2f6+W)&tolerance=1+%25&instock=y"
"RV1 RV2","2","100K","","","Trim-potentiometer","https://www.mouser.ca/datasheet/2/54/3386-776606.pdf","Bourns","3386*","Mouser","652-3386*","https://www.mouser.ca/c/passive-components/resistors/variable-resistors/trimmer-resistors-through-hole/?number+of+turns=1&series=3386&instock=y"
"U1","1","TL074","","","Quad Low-Noise JFET-Input Operational Amplifiers, DIP-14/SOIC-14","http://www.ti.com/lit/ds/symlink/tl071.pdf","Texas Instruments","TL074BCN","Mouser","595-TL074BCN","https://www.mouser.ca/ProductDetail/?qs=vxEfx8VrU7BHurOY5iQdiA%3D%3D"
"U2","1","LM4040","5V0","","LM4040 shunt voltage reference","https://www.ti.com/lit/ds/symlink/lm4040-n.pdf?ts=1622551591255","Texas Instruments","LM4040*","Mouser","","https://www.mouser.ca/c/semiconductors/integrated-circuits-ics/power-management-ics/voltage-references/?mounting+style=Through+Hole&package+%2f+case=TO-92-3~TO92-3%7cThrough+Hole&series=LM4040-N~LM4040D50&instock=y&sort=pricing&rp=semiconductors%2fintegrated-circuits-ics%2fpower-management-ics%2fvoltage-references%7cPackage+%2f+Case%7cSeries"
