Ref,Qty,Name,Value,Value2,Note,Description,Datasheet,Manufacturer,ManuPartNum,Distributor1,DistributorPartNum1,DistributorPartLink1,Distributor2,DistributorPartNum2,DistributorPartLink2,Distributor3,DistributorPartNum3,DistributorPartLink3
C1 C2 C10 C11,4,CP_10U,10U,25 VDC,,Capacitor - Electrolytic - 12 V decoupling,https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1209.pdf,Panasonic,EEA-FC1E100,Mouser,667-EEA-FC1E100,https://www.mouser.ca/ProductDetail/Panasonic/EEA-FC1E100?qs=nLJruSqDb94EJwiFQJd4iw%3D%3D,,,,,,
C3 C4 C5 C6 C7,5,CC_100N,100N,,IC decoupling,Capacitor - Ceramic - IC decoupling,https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/lead-mlcc/catalog/leadmlcc_halogenfree_fg_en.pdf,TDK,FG18X7R1H104KNT06,Mouser,810-FG18X7R1H104KNT6,https://www.mouser.ca/ProductDetail/810-FG18X7R1H104KNT6,,,,,,
C8,1,CP,4U7,,,Capacitor - Electrolytic,https://www.mouser.ca/datasheet/2/977/e_YXJ-1601195.pdf,Rubycon,50YXJ1M5X11,Mouser,232-50YXJ1M5X11,https://www.mouser.ca/ProductDetail/232-50YXJ1M5X11,,,,,,
C9,1,CP,1U,,,Capacitor - Electrolytic,https://www.mouser.ca/datasheet/2/977/e_YXJ-1601195.pdf,Rubycon,50YXJ1M5X11,Mouser,232-50YXJ1M5X11,https://www.mouser.ca/ProductDetail/232-50YXJ1M5X11,,,,,,
C12,1,C,100N,C0G/NP0,,Capacitor - Unpolarized,https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/lead-mlcc/catalog/leadmlcc_halogenfree_fa_en.pdf,TDK,FA16C0G2A104JRU06,Mouser,810-FA16C0G2A104JRU6,https://www.mouser.ca/ProductDetail/TDK/FA16C0G2A104JRU06?qs=rrS6PyfT74eIXMieHdmSyA%3D%3D,,,,,,
C13,1,C,100P,,,Capacitor - Unpolarized,https://www.mouser.com/catalog/specsheets/tdkc-s-a0002934059-1.pdf,TDK,CK45-R3AD101K-NRA,Mouser,810-CK45-R3AD101K-NA,https://www.mouser.ca/ProductDetail/TDK/CK45-R3AD101K-NRA?qs=2FIyTMJ0hNnnCwDIL7fTTQ%3D%3D,,,,,,
C14 C18,2,C,1U,,,Capacitor - Unpolarized,https://product.tdk.com/system/files/dam/doc/product/capacitor/film/mkt/data_sheet/20/20/db/fc_2009/mkt_b32560_564.pdf,TDK,B32560J0105K000,Mouser,871-B32560J105K,https://www.mouser.ca/ProductDetail/EPCOS-TDK/B32560J0105K000?qs=BXAlDLqNavmfEpgvg4LQCg%3D%3D,,,,,,
C15 C16,2,CF,10N,,,Capacitor - Film,https://www.mouser.ca/datasheet/2/212/1/KEM_F3072_SMR-1103375.pdf,KEMET,SMR5103J50J01L16.5CBULK,Mouser,80-SMR5103J50J0116,https://www.mouser.ca/ProductDetail/?qs=lyRJTFulC0ZVzsb1DGnFvw%3D%3D,,,,,,
C17,1,CF,1N,,,Capacitor - Film,https://www.mouser.ca/datasheet/2/212/F3294_MMK-1101858.pdf,KEMET,MMK5102J100J01L16.5TA18,Mouser,80-MMK5102J100J1TA18,https://www.mouser.ca/ProductDetail/80-MMK5102J100J1TA18,,,,,,
D1 D2,2,MBR150,MBR150,,,Schottky rectifier diode,https://www.onsemi.com/pdf/datasheet/mbr150-d.pdf,On Semi,MBR150RLG,Mouser,863-MBR150RLG,https://www.mouser.ca/ProductDetail/ON-Semiconductor/MBR150RLG?qs=3JMERSakebpMUdfDTQP0Kw%3D%3D,,,,,,
D3,1,LED_5mm_Blue,LED_5mm_Blue,,,Blue Light Emitting Diode,https://www.mouser.ca/datasheet/2/423/VAOL-5LSBY1-1064871.pdf,VCC,VAOL-5LSBY1,Mouser,593-VAOL-5LSBY1,https://www.mouser.ca/ProductDetail/VCC/VAOL-5LSBY1?qs=sGAEpiMZZMvHYEB9WUp7EneOMcS%2FsWIS9dCGd3NWsaQ%3D,,,,,,
D4 D5,2,1N4148,1N4148,,,"Switching diode, 100V 0.15A, DO-35",https://www.mouser.ca/datasheet/2/308/1N914_D-2309448.pdf,On Semi / Fairchild,1N4148-T50R,Mouser,512-1N4148T50R,https://www.mouser.ca/ProductDetail/?qs=0lQeLiL1qyZS6rosZp7Ehg%3D%3D,,,,,,
H1,1,PCB_Delptronics_MCS_4HP,PCB_Delptronics_MCS_4HP,,PCB & panel kit,Delptronics Module Construction Set - 4HP PCB & panel kit,https://delptronics.com/module-construction-set.php,Delptronics,,Delptronics,,https://delptronics.com/module-construction-set.php,synthCube,DELPMCSMSTR,https://synthcube.com/cart/delptronics-module-construction-set,Modular Addict,,https://modularaddict.com/module-construction-set-eurorack-prototype-development-platform-delptronics
J5 J6 J7 J8,4,Jack_WQP-PJ398,WQP-PJ398SM,,,"Audio Jack, 2 Poles (Mono / TS), Switched T Pole (Normalling), QingPu / Thonkiconn",http://www.qingpu-electronics.com/en/products/WQP-PJ398SM-362.html,QingPu / Thonk,PJ398SM / WQP518MA,Thonk,PJ398SM,https://www.thonk.co.uk/shop/thonkiconn/,SynthCube,WQP518MA,https://synthcube.com/cart/3-5mm-euro-jacks,Adafruit,4031,https://www.adafruit.com/product/4031
Q1 Q2,2,Q_NPN_2N3904,2N3904,,,"Small Signal NPN Transistor, 0.2A Ic, 40V Vce, TO-92",https://www.onsemi.com/pub/Collateral/2N3903-D.PDF,Central Semiconductor,2N3904 PBFREE,Mouser,610-2N3904,https://www.mouser.ca/ProductDetail/Central-Semiconductor/2N3904-PBFREE?qs=u16ybLDytRZopNVvg2vJjA%3D%3D,,,,,,
Q3,1,Q_JFET_N_SDG,J309,,,"N-JFET transistor, source/drain/gate",https://www.mouser.ca/datasheet/2/676/jfet-j308-j309-j310-interfet.r00-1649146.pdf,InterFET,J309,Mouser,106-J309,https://www.mouser.ca/ProductDetail/InterFET/J309?qs=%2Fha2pyFadug%252BRXW75aF8sJNF9wzp6WNhAjvZlcGd5MA%3D,,,,,,
Q4 Q5,2,Q_PNP_2N3906,2N3906,,,"Small Signal PNP Transistor, -0.2A Ic, -40V Vce, TO-92",https://www.onsemi.com/pub/Collateral/2N3906-D.PDF,ON Semiconductor / Fairchild,2N3906TAR,Mouser,512-2N3906TAR,https://www.mouser.ca/ProductDetail/ON-Semiconductor-Fairchild/2N3906TAR?qs=VnWRSnLxLU2ypWvU5pgBbw%3D%3D,,,,,,
R1 R2,2,R,10R,,,Resistor,https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf,Mouser,MFR-25FTF52-10R,Mouser,603-MFR-25FTF52-10R,https://www.mouser.ca/ProductDetail/YAGEO/MFR-25FTF52-10R?qs=sGAEpiMZZMsPqMdJzcrNwq9WDdhxcQOn9tt%2FVep99Mg%3D,,,,,,
R3,1,R,220K,,,Resistor,https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf,YAGEO,MFR-25FTF52-220K,Mouser,603-MFR-25FTF52-220K,https://www.mouser.ca/ProductDetail/?qs=iCzJi%2FIZBF5PYwecy8ih6Q%3D%3D,,,,,,
R4 R16 R17 R19 R23,5,R,10K,,,Resistor,https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf,YAGEO,MFR-12FRF52-10K,Mouser,603-MFR-12FRF5210K,https://www.mouser.ca/ProductDetail/?qs=19cKSROHwrBLAZVjkXsohw%3D%3D,,,,,,
R5 R14,2,R,100K,,,Resistor,https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf,YAGEO,MFR-12FTF52-100K,Mouser,603-MFR-12FTF52-100K,https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-100K?qs=sGAEpiMZZMsPqMdJzcrNwiweiCzxKzWL3GVOiMccmLA%3D,,,,,,
R6 R11 R13 R15,4,R,1M,,,Resistor,https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf,YAGEO,MFR-12FTF52-1M,Mouser,603-MFR-12FTF52-1M,https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-1M?qs=sGAEpiMZZMsPqMdJzcrNwiweiCzxKzWL%252BPYAYdUNTvA%3D,,,,,,
R7 R26,2,R,4K7,,,Resistor,https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf,YAGEO,MFR-12FTF52-4K7,Mouser,603-MFR-12FTF52-4K7,https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-4K7?qs=sGAEpiMZZMsPqMdJzcrNwiweiCzxKzWL306yKz0WYrY%3D,,,,,,
R8,1,R,11K,,,Resistor,https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf,YAGEO,MFR-12FTF52-11K,Mouser,603-MFR-12FTF52-11K,https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-11K?qs=sGAEpiMZZMsPqMdJzcrNwiweiCzxKzWLyNqWxbbuCTE%3D,,,,,,
R9,1,R,330K,,,Resistor,https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf,YAGEO,MFR-12FTF52-100K,Mouser,603-MFR-12FTF52-100K,https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-100K?qs=sGAEpiMZZMsPqMdJzcrNwiweiCzxKzWL3GVOiMccmLA%3D,,,,,,
R10,1,R,15K,,,Resistor,https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf,YAGEO,MFR-12FTF52-24K,Mouser,603-MFR-12FTF52-24K,https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-24K?qs=sGAEpiMZZMsPqMdJzcrNwiweiCzxKzWLuGMcyaqCM%2FY%3D,,,,,,
R12,1,R,120K,,,Resistor,https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf,YAGEO,MFR-25FTE52-15K,Mouser,603-MFR-25FTE52-15K,https://www.mouser.ca/ProductDetail/YAGEO/MFR-25FTE52-15K?qs=sGAEpiMZZMsPqMdJzcrNwiweiCzxKzWL4mPFMr3R5fM%3D,,,,,,
R18 R28,2,R_1K_Output,1K,"5%, 1/4 W",Output limiting,Resistor,https://www.mouser.ca/datasheet/2/427/ccf07-1762725.pdf,Vishay / Dale,CCF071K00JKE36,Mouser,71-CCF071K00JKE36,https://www.mouser.ca/ProductDetail/Vishay-Dale/CCF071K00JKE36?qs=sGAEpiMZZMsPqMdJzcrNwqw41JD0NFylHV1MADcQnpo%3D,,,,,,
R20,1,R,1K5,,,Resistor,https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf,YAGEO,MFR-12*,Mouser,603-MFR-12*,https://www.mouser.ca/c/?m=YAGEO&power+rating=166+mW+(1%2f6+W)&tolerance=1+%25&instock=y,,,,,,
R21,1,R,82K,,,Resistor,https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf,YAGEO,MFR-12*,Mouser,603-MFR-12*,https://www.mouser.ca/c/?m=YAGEO&power+rating=166+mW+(1%2f6+W)&tolerance=1+%25&instock=y,,,,,,
R22,1,R_1K_Output,2K2,"5%, 1/4 W",Output limiting,Resistor,https://www.mouser.ca/datasheet/2/427/ccf07-1762725.pdf,Vishay / Dale,CCF071K00JKE36,Mouser,71-CCF071K00JKE36,https://www.mouser.ca/ProductDetail/Vishay-Dale/CCF071K00JKE36?qs=sGAEpiMZZMsPqMdJzcrNwqw41JD0NFylHV1MADcQnpo%3D,,,,,,
R24,1,R,6K2,,,Resistor,https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf,YAGEO,MFR-12*,Mouser,603-MFR-12*,https://www.mouser.ca/c/?m=YAGEO&power+rating=166+mW+(1%2f6+W)&tolerance=1+%25&instock=y,,,,,,
R25,1,R,13K,,,Resistor,https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf,YAGEO,MFR-12*,Mouser,603-MFR-12*,https://www.mouser.ca/c/?m=YAGEO&power+rating=166+mW+(1%2f6+W)&tolerance=1+%25&instock=y,,,,,,
R27,1,R,3K9,,,Resistor,https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf,YAGEO,MFR-12*,Mouser,603-MFR-12*,https://www.mouser.ca/c/?m=YAGEO&power+rating=166+mW+(1%2f6+W)&tolerance=1+%25&instock=y,,,,,,
RV7,1,R_POT_Panel_PCB_Alpha,1M,LIN,,Potentiometer,https://www.mouser.ca/datasheet/2/13/alpha_taiwan_08192019_RD901F-40-15R1-B(resistance_-1627810.pdf,Alpha,RD901F-*,Thonk,Group_Pot_Alpha_6.35mm,https://www.thonk.co.uk/shop/alpha-9mm-pots/,Mouser,311-1940F-*,https://www.mouser.ca/c/passive-components/potentiometers-trimmers-rheostats/potentiometers/?q=RD901F&orientation=Vertical,SynthCube,9MMALPHAPOTMSTR,https://synthcube.com/cart/alpha-9mm-potentiometer-right-angle-pcb-mount-6-35mm-round-shaft
RV8,1,R_POT_Panel_PCB_Alpha,1M,LOG,,Potentiometer,https://www.mouser.ca/datasheet/2/13/alpha_taiwan_08192019_RD901F-40-15R1-B(resistance_-1627810.pdf,Alpha,RD901F-*,Thonk,Group_Pot_Alpha_6.35mm,https://www.thonk.co.uk/shop/alpha-9mm-pots/,Mouser,311-1940F-*,https://www.mouser.ca/c/passive-components/potentiometers-trimmers-rheostats/potentiometers/?q=RD901F&orientation=Vertical,SynthCube,9MMALPHAPOTMSTR,https://synthcube.com/cart/alpha-9mm-potentiometer-right-angle-pcb-mount-6-35mm-round-shaft
SW5,1,SW_SPDT_ON_ON,ON_ON,,,"Switch, single pole double throw sub-mini toggle",https://www.mouser.ca/datasheet/2/221/MS-100542-1173960.pdf,Mountain Switch,10TC410,Mouser,10TC410,https://www.mouser.ca/ProductDetail/Mountain-Switch/10TC410?qs=ITV4B%252BNEbToIZH965UXZQg%3D%3D,Thonk,,https://www.thonk.co.uk/shop/sub-mini-toggle-switches/,SynthCube,,https://synthcube.com/cart/toggle-switch-submini-pc-pin
SW6,1,SW_SPST,SPST,,,Single Pole Single Throw (SPST) sub-mini toggle switch,https://www.mouser.ca/datasheet/2/221/MS-100542-1173960.pdf,Mountain Switch,10TC405,Mouser,10TC405,https://www.mouser.ca/ProductDetail/Mountain-Switch/10TC405?qs=iZD9pWtnGRc4L7BaVXXEAQ%3D%3D,,,,,,
U2,1,TL072,TL072,,,"Dual Low-Noise JFET-Input Operational Amplifiers, DIP-8/SOIC-8",https://www.ti.com/lit/ds/symlink/tl072b.pdf?ts=1628812694194,Texas Instruments,TL072BCP,Mouser,595-TL072BCP,https://www.mouser.ca/ProductDetail/Texas-Instruments/TL072BCP?qs=p6YqzpSxLIxmo8AyZLsP4g%3D%3D,,,,,,
U3,1,ICM7556,ICM7556,,,"Dual CMOS General Purpose Timer, DIP-14/SOIC-14",http://www.intersil.com/content/dam/Intersil/documents/icm7/icm7555-56.pdf,Renesas / Intersil,ICM7556IPDZ,Mouser,968-ICM7556IPDZ,https://www.mouser.ca/ProductDetail/Renesas-Intersil/ICM7556IPDZ?qs=9fLuogzTs8KkiwynQpkCWw%3D%3D,,,,,,
U4,1,TL074,TL074,,,"Quad Low-Noise JFET-Input Operational Amplifiers, DIP-14/SOIC-14",http://www.ti.com/lit/ds/symlink/tl071.pdf,Texas Instruments,TL074BCN,Mouser,595-TL074BCN,https://www.mouser.ca/ProductDetail/?qs=vxEfx8VrU7BHurOY5iQdiA%3D%3D,,,,,,
