Ref,Qty,Name,Value,Value2,Note,Description,Datasheet,Manufacturer,ManuPartNum,Distributor1,DistributorPartNum1,DistributorPartLink1
C1,1,CP,220U,35VDC,,Capacitor - Electrolytic,https://www.mouser.ca/datasheet/2/315/ABA0000C1209-1289053.pdf,Panasonic,EEU-FC1V221,Mouser,667-EEU-FC1V221,https://www.mouser.ca/ProductDetail/Panasonic/EEU-FC1V221?qs=iiQS8Qu7XZTt1rQb8bsJjg%3D%3D
C2,1,CP,22U,16VDC,,Capacitor - Electrolytic,https://www.mouser.ca/datasheet/2/315/ABA0000C1041-947575.pdf,Panasonic,EEA-GA1C220H,Mouser,667-EEA-GA1C220H,https://www.mouser.ca/ProductDetail/Panasonic/EEA-GA1C220H?qs=6gIVE1Jgg%2FznoTUBnseqpA%3D%3D
C3 C4,2,CP,220U,25VDC,,Capacitor - Electrolytic,https://www.mouser.ca/datasheet/2/315/ABA0000C1209-1289053.pdf,Panasonic,EEU-FC1V221,Mouser,667-EEU-FC1V221,https://www.mouser.ca/ProductDetail/Panasonic/EEU-FC1V221?qs=iiQS8Qu7XZTt1rQb8bsJjg%3D%3D
C5 C6,2,CC,100N,,,Capacitor - Ceramic,https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/lead-mlcc/catalog/leadmlcc_halogenfree_fg_en.pdf,TDK,FG18X7R1H104KNT06,Mouser,810-FG18X7R1H104KNT6,https://www.mouser.ca/ProductDetail/810-FG18X7R1H104KNT6
F1,1,Fuse,0A5,,,Fuse,https://www.mouser.ca/datasheet/2/240/Littelfuse_Fuse_217_Datasheet_pdf-310011.pdf,Littelfuse,0217.500MXP,Mouser,576-0217.500MXP,https://www.mouser.ca/ProductDetail/Littelfuse/0217500MXP?qs=vco6xy%252BeH1oTm6RGQTWG6A%3D%3D
F2 F3,2,Fuse,1A,,,Fuse,https://www.mouser.ca/datasheet/2/643/ds-CP-5mf-5mfp-series-1313109.pdf,Bel Fuse,5MF 1-R,Mouser,530-5MF1-R,https://www.mouser.ca/ProductDetail/530-5MF1-R
H1,1,PCB,PCB,,Stripboard PCB,Printed Circuit Board,https://www.mouser.ca/datasheet/2/58/BPS-DAT-(ST2)-Datasheet-1282869.pdf,Busboard Prototype Systems,ST2,Mouser,854-ST2,https://www.mouser.ca/ProductDetail/BusBoard-Prototype-Systems/ST2?qs=NGErKr1RxMAdSUqgGAVpyQ==
J1,1,Jack_DC_PJ-086H,PJ-086H,,Fits cable from mains power brick,DC Barrel Jack with an internal switch and a mounting pin,https://www.mouser.ca/datasheet/2/670/pj_086h-1779035.pdf,CUI,PJ-086H,Mouser,490-PJ-086H,https://www.mouser.ca/ProductDetail/490-PJ-086H
J2,1,Conn_01x04,HDR_M,,Pin 3 removed,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,,
J3,1,Conn_01x04,HDR_F,,Pin 3 filled in,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,,
J4 J5,2,Conn_Eurorack_Pwr_16,Conn_Eurorack_Pwr_16,,,Eurorack 16-pin board power/CV/gate bus connector,https://www.mouser.ca/datasheet/2/445/61201621621-1717735.pdf,Wurth Elektronik,61201621621,Mouser,710-61201621621,https://www.mouser.ca/ProductDetail/Wurth-Elektronik/61201621621?qs=ZtY9WdtwX55qFf4n3EFuaA%3D%3D
PS1,1,MISC,PSU,,Mains power adapter with DC output between 9 V and 36 V,Miscellaneous,,,,,,
SW1,1,SW_SPST_Lamp_Carling,632151-3B-HN,,,"Single Pole Single Throw (SPST) switch with signal lamp, generic",https://www.mouser.ca/datasheet/2/65/622_632_Series_Details__26_COS-267957.pdf,Carling Technologies,632151-3B-HN,Mouser,691-632151-3B-HN,https://www.mouser.ca/ProductDetail/Carling-Technologies/632151-3B-HN?qs=JTE4qh7jp8ik1N%2FHQcLdVQ%3D%3D
U1,1,Converter_DCDC_PRM3W,PRM3W-E12-S5-S,,,Isolated DC/DC converter module,https://www.mouser.ca/datasheet/2/670/prm3w_s-2474873.pdf,CUI,PRM3W-E12-S5-S,Mouser,490-PRM3W-E12-S5-S,https://www.mouser.ca/ProductDetail/490-PRM3W-E12-S5-S
U2,1,Converter_DCDC_PYBE30,PYBE30-Q24-D12,,,"Isolated 4:1 input DC/DC converter module, DIP",https://www.mouser.ca/datasheet/2/670/pybe30-1525754.pdf,CUI,PYBE30-Q24-D12,Mouser,490-PYBE30-Q24-D12,https://www.mouser.ca/ProductDetail/490-PYBE30-Q24-D12
XF1 XF2 XF3 XF4 XF5 XF6,6,FuseClip_D5mm_P5mm,CLIP,,,Littelfuse Phosphor Bronze PCB Mount Fuse Clip for 5 x 20mm Cartridge Fuse,https://www.littelfuse.com/~/media/electronics/datasheets/fuse_clips/littelfuse_fuse_clip_520_521_102071_datasheet.pdf.pdf,LITTELFUSE,52000001009,Mouser,576-52000001009,https://www.mouser.co.uk/ProductDetail/Littelfuse/52000001009?qs=TxeoXSYJMVRCKOrJrEyYEQ%3D%3D
